gender,tournament,competition,rung,kind
M,FIFA World Cup,FIFA World Cup,world,finals
M,FIFA World Cup qualification,FIFA World Cup,world,qualifying
W,FIFA World Cup,FIFA Women's World Cup,world,finals
W,FIFA World Cup qualification,FIFA Women's World Cup,world,qualifying
M,UEFA Euro,UEFA European Championship,federation,finals
M,UEFA Euro qualification,UEFA European Championship,federation,qualifying
W,UEFA Euro,UEFA Women's Euro,federation,finals
W,UEFA Euro qualification,UEFA Women's Euro,federation,qualifying
M,Copa América,Copa América,federation,finals
M,Copa América qualification,Copa América,federation,qualifying
W,Copa América,Copa América Femenina,federation,finals
M,African Cup of Nations,Africa Cup of Nations,federation,finals
M,African Cup of Nations qualification,Africa Cup of Nations,federation,qualifying
W,African Cup of Nations,Women's Africa Cup of Nations,federation,finals
W,African Championship,Women's Africa Cup of Nations,federation,finals
W,African Cup of Nations qualification,Women's Africa Cup of Nations,federation,qualifying
W,Africa Cup of Nations qualification,Women's Africa Cup of Nations,federation,qualifying
W,African Championship qualification,Women's Africa Cup of Nations,federation,qualifying
M,AFC Asian Cup,AFC Asian Cup,federation,finals
M,AFC Asian Cup qualification,AFC Asian Cup,federation,qualifying
W,AFC Asian Cup,AFC Women's Asian Cup,federation,finals
W,AFC Asian Cup qualification,AFC Women's Asian Cup,federation,qualifying
M,Gold Cup,CONCACAF Gold Cup,federation,finals
M,Gold Cup qualification,CONCACAF Gold Cup,federation,qualifying
W,CONCACAF Championship,CONCACAF W Championship,federation,finals
W,CONCACAF Championship qualification,CONCACAF W Championship,federation,qualifying
W,CONCACAF Gold Cup,CONCACAF W Gold Cup,federation,finals
W,CONCACAF Gold Cup qualification,CONCACAF W Gold Cup,federation,qualifying
M,Oceania Nations Cup,OFC Nations Cup,federation,finals
M,Oceania Nations Cup qualification,OFC Nations Cup,federation,qualifying
W,OFC Nations Cup,OFC Women's Nations Cup,federation,finals
W,OFC Championship,OFC Women's Nations Cup,federation,finals
W,OFC Nations Cup qualification,OFC Women's Nations Cup,federation,qualifying
M,UEFA Nations League,UEFA Nations League,nations_league,finals
M,CONCACAF Nations League,CONCACAF Nations League,nations_league,finals
M,CONCACAF Nations League qualification,CONCACAF Nations League,nations_league,qualifying
W,UEFA Nations League,UEFA Women's Nations League,nations_league,finals
W,UEFA Women's Nations League,UEFA Women's Nations League,nations_league,finals
W,CONMEBOL Nations League,CONMEBOL Women's Nations League,nations_league,finals
